post_travel,post_abortion,adm,riv,gender,gender_3_text,age,ethnic_background,ethnic_background_8_text,education,education_6_text,employment,employment_7_text,marital_status,twitter,none,facebook,instagram,tiktok,linkedin,pinterest,other,other_portals_7_text
Had an amazing time travelling around Iceland. Such beautiful scenery and makes you feel so close to nature. The weather was very cold and we had snow. Iceland is easy to drive around with lots of straight roads and not much traffic. Highly recommend it.,"Abortion should not be banned completely, this is a scary action the government has taken. If a woman wants an abortion for whatever reason, she should be able to have one. In some cases not being able to have an abortion could be a death sentence.",2.667,2.111,2.0,,40,1.0,,3.0,,8.0,,4.0,2.0,,1.0,,1.0,,,,
"I started going regularly to a beautiful , peaceful area in the uk , where I now call home. Even though I’m not fortunate enough yet to live there. I always feel so calm there. even when my mind is feeling awful. The fresh sea air , always clears away negative thoughts.","I am disgusted. Life is very precious, although why would a government be allowed to make that judgement for someone else. If the person couldn’t cope or did not want a baby , it feels cruel to bring the baby into this world.",1.0,2.111,2.0,,62,1.0,,4.0,,2.0,,3.0,6.0,,,,,,,1.0,Whatsapp
Had a great trip to Berlin this weekend! Went to some lovely spas and saw some fantastic sights - great for a history buff like myself! Thoroughly recommend - there are wurst places in the world!,People should have the choice on what to do with their bodies. A government dictating laws over peoples bodies and free will is antiquated and draconian. This makes me feel really disappointed about the state of our country.,2.556,2.111,1.0,,29,1.0,,2.0,,1.0,,4.0,1.0,,1.0,1.0,,1.0,,1.0,X
"I travelled to Barcelona in May with my mum, we had wanted to go for years together so we were extremeley excited. It fulfilled our expectations and more! The architecture is so special and unique, the weather was perfect and everyone was lovely to us.","I would feel sick. I would feel extremeley frightened, trapped, stressed, like I had no control over my body. I am someone that never wants children so this would literally be my worst nightmare. I would simply have to move country.",1.889,1.667,2.0,,26,1.0,,2.0,,8.0,,5.0,1.0,,1.0,1.0,1.0,,,,
"Just landed in Barcelona and I'm already in awe! The narrow, charming streets, the aroma of paella lingering in the air, and the lively chatter of locals, it's a sensory overload in the best way possible. I was so ready to dive into the rich culture of this amazing city.","I'm deeply troubled by the recent decision to ban abortion in our country. This isn't just a legal issue, it's a matter of human rights and choice. Every person deserves the right to make decisions about their own body, health, and future.",1.778,1.778,1.0,,26,1.0,,3.0,,5.0,,4.0,6.0,,1.0,1.0,,1.0,,,
Stop dreaming about it and go for it! Book the flight! Take the trip! I’ve had the best two weeks of my life chasing sunshine and embracing a different culture! Tomorrow isn’t promised! Start living for the now!,"The government decision is disgraceful, no government body, no state, no person has the right to tell you what should be done with be allowed to dictate how you should live your life and what you choose to do! The decision is yours to make!",3.333,2.0,2.0,,36,1.0,,2.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,
"Fantastic trip to Paris, sad it's nearly over. Not my first time, but always something new to see. #gayparis","Removing choice and freedom of choice! What's next, bringing back slavery? Why do people keep voting for these narrow minded idiots!",2.556,1.889,1.0,,49,1.0,,1.0,,2.0,,5.0,1.0,,,,1.0,1.0,,,
"Embracing the beauty that surrounds me. Be outside, enjoy the fresh air, enjoy the freedom and freeness to be happy.",You cannot take someone's right to their own body!,2.667,1.333,2.0,,45,1.0,,4.0,,1.0,,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
"So grateful for having this opportunity to travel to my favourite place, this is my happy place.","Unethical and disgraceful, I do not agree with this. An abortion is not birth control, its not always an easy decision and each case is subjective.",1.333,1.333,2.0,,39,1.0,,3.0,,2.0,,1.0,6.0,,,1.0,,,,,
"I am not revealing the location of this stupendous beach, as I don't want other people to travel here, which would ruin my experience. The main point is, I'm having a better time than you.",This is exactly what happens when we elect religious fruitcake politicians who have no scientific background and make decisions based on their holy guidebook.,2.222,1.778,1.0,,61,1.0,,1.0,,2.0,,5.0,6.0,1.0,,,,,,,
"Oh wow I've just got back from a tour of South India. Beautiful and amazing country! Friendly and welcoming people, would definitely go again.","My body, my choice!",2.778,1.556,2.0,,34,8.0,Black African,6.0,Professional degree,2.0,,1.0,6.0,,1.0,1.0,,,1.0,,
Visited Cape Verde...wow what a beautiful place it is. The people are so friendly and they can not do enough. Food is amazing and the weather was spot on...Take me back!!!!!!,"What planet is our government on! Cant believe this was passed, I bet they are all man and dont have a clue about how a woman should have control over her own body!!!",2.444,2.222,2.0,,49,1.0,,4.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,
"The first time I travelled by plane, it was to Uganda - a pretty terrifying start to my trip if I do say so myself hahaha. However, this was only the beginning. Travelling so far away from home allowed me to discover new cultures, landscapes and generally just new experiences.","I think this is a complete violation of human rights. I understand and respect peoples' opinion that a child is a human being. However, to completely ignore the existing rights of the person carrying the child is an abomination.",3.0,2.111,2.0,,22,1.0,,2.0,,9.0,,5.0,1.0,,1.0,1.0,1.0,,,,
It took absolutely ages to get to work today. The traffic was a nightmare.,Not sure why abortion has been banned. Surely people should be able to decide for themselves.,3.444,2.333,1.0,,28,1.0,,2.0,,1.0,,4.0,1.0,,1.0,1.0,,1.0,,,
"i flew on an eroplane to spain, it was a fantastic holiday spent with poeople i am close too, we had a great time relaxing and enjoying the sunshine","i would be worried as sometimes its what the person needs to survive themselves, especially if they have been raped or there is going to be physical problems with the unborn child so it will not have a good life",1.889,1.111,1.0,,54,1.0,,4.0,,1.0,,1.0,2.0,,1.0,,,,,,
I'd always recommend travel to Europe because it has such a history of civilization. It is also geographically near to home. Other parts of the world may be beautiful but in my opinion don't have the same attractions as Europe.,In principle I am pleased that abortion has been banned because I believe a living foetus should be preserved. However I recognize that abortion can be a great release for some. I haven't reconciled these two positions in my mind.,1.667,1.444,1.0,,64,1.0,,2.0,,2.0,,1.0,2.0,,1.0,,,,,,
"Finally got away for a holiday to Turkey. Looking forward to getting on the beach and hitting the all inclusive restaurant. Great weather, very hot. Flights transfers hotel all great and right in the tourist area where it's happening.","I'm not for abortions but you can't ban abortion as there are many reasons for wanting to do it, some unacceptable as not wanting to face up to consequences of their actions. For some it's a matter of health maybe their life at stake so it can never be banned entirely.",1.667,2.0,1.0,,51,1.0,,2.0,,1.0,,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,,
Box ticked! Amazing weekend away in Iceland with Jane. Couldnt have asked to visit a place on earth just as beautiful!,The abortion ban takes away rights for people who feel that they dont have the ability to be the parent that they wish to be. It also brings further hate and pain to victims of sexual assaults having to live with the results for the rest of their lives.,2.889,1.556,1.0,,34,1.0,,2.0,,1.0,,4.0,6.0,,,1.0,,1.0,,,
"We travellee to australia, the country was hot, but amazing to be in. Love the beaches, love the sunshine. Bring it on.",Banning abortion is against human rights if choice. It is awful that women dont have a decision in their bodies,3.333,2.778,1.0,,38,1.0,,2.0,,1.0,,1.0,6.0,,1.0,1.0,,,,,
"I visited the Bahamas last summer and it was an exciting journey for me. As soon as we arrived, I headed straight to my hotel and I was absolutely excited to see that the hotel was more beautiful than I imagined. It had a great view and the meals were absolutely amazing.",I honestly feel the ban of abortion is morally right and acceptable and I highly commend the government. Do not get pregnant if you do not want a baby. Use birth controls! there are lots of them or better still simply abstain until you are ready for a baby!,3.667,1.0,2.0,,30,8.0,African,2.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,
"Took the dog to the seaside last weekend, she loved it as always and I enjoyed watching her zoomies across the beach. I have missed the beach, I forget how calming the seaside is.","At this news I am either going to look to move to mainland Europe or run for Parliament. I cannot stay here when there's such a breach of fundamental human rights. Either action or movement. It's Roe vs Wade all over again but 100% times worse. We need an uprising, now.",2.222,2.111,2.0,,35,1.0,,2.0,,1.0,,5.0,1.0,,1.0,,1.0,1.0,,,
Getting to explore even more of our wonderful green earth! Though it was all looking very white out in the Abruzzo mountains. The deepest snow I've ever seen in my life! And the most amazing views imaginable &lt;3 I'll never forget the moonlight glittering in the snowy forests 😍,"I'm heartbroken by the blow to bodily autonomy and personal healthcare our government has enacted today. So many children, women and others capable of pregnancy will suffer at the hands of this new legislation. This has never been about protecting babies, remember that.",2.667,1.333,3.0,Non Binary,27,1.0,,3.0,,2.0,,4.0,6.0,,1.0,1.0,,,1.0,,
Paris is pretty fun. Foods great. [emoji spam here],Not a good look.,1.222,1.333,1.0,,30,2.0,,2.0,,2.0,,5.0,6.0,1.0,,,,,,,
what an amazing time I had on holiday the weather was perfect and the beaches were golden and unspoiled. The food was to die for an drink was reasoably priced so it was an unforgettable week. It was a fare distance to travel too but worth every moment and penny..,I feel they a female has the right to choose whether abortions are correct for them as long as it is in a set time period from the conception. The leaders of the country have no right to dictate to women that they can not choose .especialy when it could have been caused by rape,2.556,2.778,1.0,,66,1.0,,3.0,,1.0,,1.0,2.0,,1.0,,,,,,
"This year we decided not to travel far, and instead appreciate the things that our own country has to offer",This is beyond a joke. When will women have a say over their bodies?,2.222,2.0,2.0,,26,1.0,,2.0,,1.0,,4.0,6.0,,,1.0,,,,,
"We went on the great ocean road in a convertible with the hood down during winter and it was fantastic. An experience I will forever cherish, but would’ve not been the same without the heated seats!","I am pro choice but most importantly pro happy life! Having a baby is the biggest commitment in a person’s life. It’s not only about having the baby, but about giving it the best life possible and sometimes that just isn’t on the cards. We should all be free to make that choice.",4.0,3.0,2.0,,37,1.0,,3.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,
I went to Thailand in 2004 at the age of 20. It was great fun but I wish I'd done more cultural activities instead of staying up all night drinking on the beach..it was fun though at the time.,I think it is sickening the government has done this. Many women will be forced to leave the country or resort to harmful procedures that endanger their lives. Woman should have the choice what to do.,2.889,1.556,1.0,,39,1.0,,2.0,,2.0,,5.0,1.0,,1.0,1.0,,1.0,1.0,,
Just got off the plane weather is lovely as expected looking forward to spending a couple of weeks exploring and playing golf. Miss you all see you when i get back!,The banning of abortion is disgraceful how can we live in a free world if rules are put in place that stop women and men making decisions that affect their lives. Not the government lives theirs. I will be joining the protest when its arranged,3.667,1.333,1.0,,61,1.0,,4.0,,7.0,retired,1.0,6.0,,1.0,,,,,,
Time travelling in thf future and back in time,Don't agree . There should be freedom of choice,3.889,2.667,1.0,,57,1.0,,2.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,
"I have arrived at the airport to board my flight to Australia, whooop whoop, I am so excited. The airport is so busy this morning, I am going to get a drink and some breakfast before boarding my flight. I will check in again with everyone once I have arrived in sunny Australia!","This is horrendous!!! All women should have the right to decide what happens with their bodies! This is discrimination and taking away human rights from women, I strongly disagree with abortion being banned! I would petition against this.",1.889,1.333,2.0,,34,1.0,,2.0,,2.0,,4.0,6.0,,1.0,1.0,,,1.0,,
"Rome is a place for the heart and the mind. A place of beauty, culture and fun. A place to really live.","Banning abortion is an outrageous assault on women and their freedom, decided mainly by men and often with the involvement of religious groups. There is absolutely no place for this misogyny and tyranny in our society - or anywhere.",1.333,1.0,2.0,,64,1.0,,2.0,,7.0,retired,1.0,1.0,,1.0,1.0,,1.0,1.0,,
Recently went to Iceland and can't believe how beautiful it is! The landscape is just gorgeous - can't wait to go again in the summer one day!,"Once again, men are dictating what women should do with their own bodies!",2.778,1.222,2.0,,28,8.0,British,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,
"Hey guys! I'm currently at the Amazon Forest, nature is so beautiful! #nature #peace",Imagine not having any autonomy over your own body. #rights,1.0,1.0,1.0,,22,3.0,,2.0,,1.0,,1.0,6.0,,,,1.0,,,,
"Long drives are the best! Could do without the shitty British weather though, it is bloody freezing!","In a country as advanced as this, we should not be traveling backward in time. What a pathetic and devolving system governed by psychopaths! I vote we take away the rights of those who voted for this ban and see how okay they are with their human rights being infringed upon",3.333,3.0,2.0,,21,3.0,,6.0,College,1.0,,5.0,1.0,,1.0,,1.0,1.0,,,
Went on holiday with my family vwey enjoyable lots of sun and sand making happy memories.,The government knows best for its people. So if that's the decision made we must obey instructions.,3.889,1.444,1.0,,32,1.0,,3.0,,1.0,,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
"Travelling places is EXHAUSTING, but being in new places and experiencing different things is EXHILARATING! Can someone invent teleportation, already? Thank you.","RIDICULOUS. We are talking about democracy, about choice and freedom - yet this country has now proved that neither of these are something that people are getting. Why do others decide what we can do with our bodies?",2.111,2.111,2.0,,29,1.0,,1.0,,1.0,,4.0,6.0,,,,,1.0,1.0,,
